,PC1,PC2,Country,Cluster
92,-0.17098165566400564,-0.5127093369304851, Israel ,0
93,5.281326284728897,-0.769276693682692, Italy ,3
94,-0.9950173412420319,-0.008757319384623569, Jamaica ,0
95,16.77248166848111,-1.5594644749959923, Japan ,3
96,-0.9479410228956161,0.026893610561898682, Jordan ,0
97,-0.6250136741958193,0.06534536370855484, Kazakhstan ,0
98,-0.8470742026928991,0.28280338708833047, Kenya ,0
99,-1.0530194464356442,0.016129854447044626, Kiribati ,0
100,-1.0265845561431424,0.008880849253160699, Kosovo ,0
101,-0.5967380195117362,-0.5309975968510868, Kuwait ,0
102,-1.0293805303829096,0.06773385922358408, Kyrgyzstan ,0
103,-1.0180202983910007,0.07315895420526446, Lao People's DR ,0
104,-0.9330812436306913,-0.11160900838614853, Latvia ,0
